6,3,3,0,0,2,0,unacc
10,3,3,0,1,0,1,unacc
29,3,3,1,0,0,2,unacc
32,3,3,1,0,1,2,unacc
42,3,3,1,1,2,0,unacc
56,3,3,2,0,0,2,unacc
58,3,3,2,0,1,1,unacc
68,3,3,2,1,1,2,unacc
72,3,3,2,2,0,0,unacc
77,3,3,2,2,1,2,acc
83,3,3,3,0,0,2,unacc
98,3,3,3,1,2,2,unacc
100,3,3,3,2,0,1,unacc
109,3,2,0,0,0,1,unacc
128,3,2,0,2,0,2,acc
145,3,2,1,1,0,1,unacc
148,3,2,1,1,1,1,unacc
164,3,2,2,0,0,2,unacc
168,3,2,2,0,2,0,unacc
171,3,2,2,1,0,0,unacc
201,3,2,3,1,1,0,unacc
205,3,2,3,1,2,1,unacc
208,3,2,3,2,0,1,unacc
237,3,1,0,2,1,0,unacc
244,3,1,1,0,0,1,unacc
285,3,1,2,1,2,0,unacc
290,3,1,2,2,0,2,acc
291,3,1,2,2,1,0,unacc
299,3,1,3,0,0,2,unacc
300,3,1,3,0,1,0,unacc
311,3,1,3,1,1,2,acc
312,3,1,3,1,2,0,unacc
332,3,0,0,0,2,2,unacc
334,3,0,0,1,0,1,unacc
335,3,0,0,1,0,2,unacc
347,3,0,0,2,1,2,acc
354,3,0,1,0,1,0,unacc
356,3,0,1,0,1,2,unacc
369,3,0,1,2,0,0,unacc
371,3,0,1,2,0,2,acc
374,3,0,1,2,1,2,acc
377,3,0,1,2,2,2,acc
407,3,0,3,0,0,2,unacc
409,3,0,3,0,1,1,unacc
422,3,0,3,1,2,2,acc
424,3,0,3,2,0,1,unacc
434,2,3,0,0,0,2,unacc
436,2,3,0,0,1,1,unacc
439,2,3,0,0,2,1,unacc
440,2,3,0,0,2,2,unacc
449,2,3,0,1,2,2,unacc
456,2,3,0,2,2,0,unacc
458,2,3,0,2,2,2,acc
470,2,3,1,1,0,2,unacc
472,2,3,1,1,1,1,unacc
476,2,3,1,1,2,2,acc
486,2,3,2,0,0,0,unacc
497,2,3,2,1,0,2,unacc
514,2,3,3,0,0,1,unacc
515,2,3,3,0,0,2,unacc
528,2,3,3,1,2,0,unacc
557,2,2,0,1,2,2,acc
563,2,2,0,2,1,2,acc
586,2,2,1,2,0,1,unacc
599,2,2,2,0,1,2,unacc
603,2,2,2,1,0,0,unacc
610,2,2,2,1,2,1,unacc
613,2,2,2,2,0,1,unacc
616,2,2,2,2,1,1,unacc
628,2,2,3,0,2,1,unacc
640,2,2,3,2,0,1,unacc
650,2,1,0,0,0,2,unacc
672,2,1,0,2,2,0,unacc
701,2,1,1,2,2,2,acc
704,2,1,2,0,0,2,unacc
722,2,1,2,2,0,2,acc
764,2,0,0,0,2,2,unacc
794,2,0,1,1,0,2,acc
818,2,0,2,0,2,2,unacc
821,2,0,2,1,0,2,acc
840,2,0,3,0,1,0,unacc
846,2,0,3,1,0,0,unacc
850,2,0,3,1,1,1,unacc
856,2,0,3,2,0,1,unacc
859,2,0,3,2,1,1,acc
874,1,3,0,1,0,1,unacc
878,1,3,0,1,1,2,unacc
882,1,3,0,2,0,0,unacc
898,1,3,1,0,2,1,unacc
899,1,3,1,0,2,2,unacc
901,1,3,1,1,0,1,unacc
925,1,3,2,0,2,1,unacc
936,1,3,2,2,0,0,unacc
945,1,3,3,0,0,0,unacc
957,1,3,3,1,1,0,unacc
960,1,3,3,1,2,0,unacc
974,1,2,0,0,0,2,unacc
977,1,2,0,0,1,2,unacc
983,1,2,0,1,0,2,unacc
995,1,2,0,2,1,2,acc
1013,1,2,1,1,1,2,acc
1019,1,2,1,2,0,2,acc
1030,1,2,2,0,1,1,unacc
1034,1,2,2,0,2,2,unacc
1038,1,2,2,1,1,0,unacc
1047,1,2,2,2,1,0,unacc
1049,1,2,2,2,1,2,acc
1072,1,2,3,2,0,1,unacc
1073,1,2,3,2,0,2,acc
1081,1,1,0,0,0,1,unacc
1100,1,1,0,2,0,2,acc
1116,1,1,1,1,0,0,unacc
1126,1,1,1,2,0,1,unacc
1132,1,1,1,2,2,1,vgood
1135,1,1,2,0,0,1,unacc
1159,1,1,2,2,2,1,vgood
1168,1,1,3,0,2,1,unacc
1187,1,1,3,2,2,2,vgood
1190,1,0,0,0,0,2,unacc
1194,1,0,0,0,2,0,unacc
1201,1,0,0,1,1,1,unacc
1202,1,0,0,1,1,2,acc
1216,1,0,1,0,0,1,unacc
1233,1,0,1,2,0,0,unacc
1247,1,0,2,0,1,2,unacc
1258,1,0,2,1,2,1,vgood
1264,1,0,2,2,1,1,acc
1265,1,0,2,2,1,2,acc
1273,1,0,3,0,1,1,unacc
1283,1,0,3,1,1,2,acc
1286,1,0,3,1,2,2,vgood
1288,1,0,3,2,0,1,acc
1289,1,0,3,2,0,2,acc
1300,0,3,0,0,1,1,unacc
1302,0,3,0,0,2,0,unacc
1310,0,3,0,1,1,2,unacc
1318,0,3,0,2,1,1,unacc
1319,0,3,0,2,1,2,acc
1338,0,3,1,1,2,0,unacc
1339,0,3,1,1,2,1,unacc
1349,0,3,1,2,2,2,acc
1391,0,3,3,1,1,2,acc
1402,0,3,3,2,2,1,acc
1413,0,2,0,1,0,0,unacc
1416,0,2,0,1,1,0,unacc
1422,0,2,0,2,0,0,unacc
1426,0,2,0,2,1,1,unacc
1435,0,2,1,0,1,1,unacc
1454,0,2,1,2,1,2,acc
1465,0,2,2,0,2,1,unacc
1483,0,2,2,2,2,1,vgood
1493,0,2,3,0,2,2,unacc
1502,0,2,3,1,2,2,vgood
1513,0,1,0,0,0,1,unacc
1515,0,1,0,0,1,0,unacc
1520,0,1,0,0,2,2,unacc
1548,0,1,1,1,0,0,unacc
1576,0,1,2,1,0,1,unacc
1597,0,1,3,0,1,1,unacc
1598,0,1,3,0,1,2,unacc
1604,0,1,3,1,0,2,acc
1606,0,1,3,1,1,1,unacc
1621,0,0,0,0,0,1,unacc
1644,0,0,0,2,2,0,vgood
1650,0,0,1,0,1,0,unacc
1654,0,0,1,0,2,1,unacc
1676,0,0,2,0,0,2,unacc
1695,0,0,2,2,1,0,vgood
1696,0,0,2,2,1,1,good
1711,0,0,3,1,0,1,good
1714,0,0,3,1,1,1,good
1716,0,0,3,1,2,0,vgood
1725,0,0,3,2,2,0,vgood
